		NB40		NB46		NB27		NB5		NB43		NB8		NB26		NB13	
NBMOH1	2	200	206	238	238	201	207	239	239	199	208	278	287	214	217	233	239
NBMOH2	2	200	206	238	238	201	207	239	242	199	199	284	287	214	217	233	239
NBMOH3	2	200	203	238	238	207	207	239	239	199	199	284	287	214	214	233	233
NBMOH4	2	203	209	241	241	201	201	239	239	199	199	272	278	217	217	233	239
NBMOH5	2	203	203	238	238	207	207	239	239	199	199	272	272	214	214	233	233
NBRD2	2	200	203	238	238	201	201	239	239	199	199	278	287	208	217	233	233
NBRD3	2	203	203	238	238	201	201	239	239	199	199	272	278	214	217	233	233
NBRD4	2	203	203	238	238	201	207	239	239	199	199	272	284	208	208	227	233
NBRD5	2	200	203	238	238	201	201	239	239	199	199	278	278	214	217	227	233
NBRD6	2	206	206	238	238	201	201	239	239	199	199	287	287	214	217	233	233
NBRD7	2	203	203	238	238	207	207	239	239	199	199	275	275	214	214	233	233
NBRDH1	2	206	206	238	238	207	207	239	242	199	199	278	287	214	217	233	236
NBRDH2	2	203	206	238	238	201	207	239	239	199	199	269	284	211	217	227	233
NBRDH3	2	203	203	238	238	201	207	239	248	199	199	272	278	217	217	233	233
NBRDH5	2	206	206	238	238	201	201	239	239	199	199	287	287	208	217	233	236
NBRDH6	2	203	206	238	241	201	201	239	248	199	199	278	287	208	217	233	233
NBFL1	3	197	200	238	238	201	207	239	239	199	205	278	281	208	208	227	233
NBFL2	3	203	203	238	238	207	207	239	239	199	199	284	284	208	214	233	233
NBFL3	3	203	203	238	238	207	207	239	239	199	199	281	281	214	214	233	233
NBFL4	3	200	200	232	238	207	207	239	251	199	199	278	278	208	214	233	236
NBFL5	3	200	200	238	238	207	207	239	254	199	208	278	278	208	214	224	233
NBFL6	3	200	203	238	238	207	207	239	242	199	199	275	278	214	214	233	233
NBFL7	3	200	203	238	238	201	207	239	254	199	199	278	278	214	217	233	236
NBFL8	3	203	203	238	238	201	207	239	239	199	208	275	275	214	217	224	227
NBFL9	3	203	203	238	238	207	207	239	239	199	199	278	281	208	208	233	233
NBFL10	3	203	203	238	238	201	207	239	239	199	199	278	278	214	217	233	236
NBFL11	3	203	203	238	238	207	207	239	239	199	199	278	278	208	208	227	233
NBFL12	3	203	206	238	238	201	201	239	239	199	199	278	278	217	217	233	233
NBFL13	3	200	203	238	241	201	201	239	239	199	199	278	278	208	217	224	224
NBFL14	3	203	203	238	238	201	207	239	239	199	199	278	284	208	217	233	236
NBFL15	3	200	200	238	238	201	207	239	239	199	199	275	290	208	214	233	233
NBFL16	3	200	203	238	238	201	201	239	239	199	199	278	284	208	208	233	233
NBFL17	3	200	203	238	238	201	201	239	239	199	199	275	275	217	217	233	233
NBFL18	3	200	203	244	244	201	207	239	254	199	199	275	275	208	217	224	233
NBFL19	3	203	206	238	238	207	207	239	239	199	199	269	278	208	214	233	233
NBFL20	3	200	203	238	238	201	207	239	239	199	199	275	278	208	217	233	233
NBFL21	3	200	200	238	238	201	207	239	239	199	199	272	275	208	217	233	236
NBTX1	4	203	203	238	238	201	207	239	239	199	199	272	281	214	223	224	236
NBTX2	4	203	203	238	238	201	207	239	242	199	208	269	278	214	217	233	233
NBTX3	4	203	203	241	244	207	207	239	239	199	199	272	281	214	214	233	236
NBTX4	4	203	203	241	244	207	207	239	251	199	199	272	281	214	214	233	233
NBTX5	4	203	203	238	238	201	207	239	239	199	199	272	281	214	217	233	239
NBTX6	4	203	203	241	241	207	207	239	239	199	199	275	278	214	214	233	239
NBTX7	4	203	203	241	244	207	207	239	239	199	199	272	278	214	214	233	239
NBTX8	4	203	203	238	238	207	207	239	242	199	199	281	281	214	214	233	239
NBTX9	4	203	203	238	238	207	207	239	242	199	199	269	281	214	214	233	239
NBTX10	4	203	203	238	238	201	207	239	239	199	199	272	272	214	223	233	239
NBTX11	4	203	203	232	241	207	207	239	239	199	199	278	281	214	214	233	236
NBTX12	4	203	203	238	238	201	207	239	251	199	199	269	281	214	217	224	233
NBTX13	4	203	203	241	244	207	207	239	239	199	205	281	281	214	214	233	236
NBTX14	4	203	203	232	241	201	207	239	251	199	199	272	272	214	217	233	239
NBTX15	4	203	203	238	238	201	207	239	239	199	199	269	272	214	217	233	236
NBTX16	4	203	203	238	238	201	201	239	239	199	199	272	281	217	223	233	236
NBTX17	4	203	203	238	238	201	201	239	239	199	199	281	281	217	223	233	233
NBTX18	4	203	203	232	241	201	207	239	239	199	208	272	272	214	217	233	233
NBTX19	4	203	203	238	238	201	207	239	239	199	199	272	272	214	217	224	224
NBTX20	4	203	203	232	241	201	207	239	239	199	199	269	278	214	217	233	239
NHTX21	4	203	203	238	238	201	201	239	239	199	208	272	281	217	223	233	233
NBTX22	4	203	203	238	238	201	201	239	239	199	199	281	281	217	217	233	239
NBTX23	4	203	203	238	238	201	201	239	251	199	199	281	281	217	223	233	239
NBTX24	4	203	203	238	238	201	201	239	239	199	199	281	281	217	217	233	236
NBTX25	4	203	203	241	244	201	201	239	239	199	199	272	281	223	223	224	233
NBSAB3	5	200	200	238	238	201	201	239	242	199	199	278	284	208	208	224	227
NBSAB6	5	209	209	238	238	201	201	230	239	199	208	275	284	214	217	233	236
NBSAB8	5	200	200	238	241	201	201	239	242	199	208	278	278	217	217	224	233
NBSAB9	5	200	200	238	238	207	207	239	242	199	199	278	284	214	214	233	233
NBSAB13	5	200	206	232	238	201	207	239	242	199	199	278	290	214	217	233	233
NBSAB15	5	200	203	238	238	201	207	239	239	199	208	275	290	214	217	233	233
NBSAC1	6	206	206	241	241	201	201	242	242	199	199	272	275	217	217	233	233
NBSAC2	6	203	206	238	238	207	207	239	239	199	199	278	278	214	214	233	233
NBSAC3	6	206	206	241	241	201	207	230	239	199	199	275	275	214	214	233	236
NBSAC4	6	200	203	232	241	201	207	242	242	199	199	275	278	208	214	233	233
NBSAC5	6	206	209	232	241	201	201	230	254	199	199	278	284	214	214	233	236
NBSAC6	6	197	203	238	238	201	201	230	239	199	199	272	284	214	217	233	233
NBSAC7	6	206	209	238	238	201	207	239	239	199	208	275	278	214	214	233	233
NBSAC8	6	200	200	238	238	201	207	230	239	199	199	275	275	214	214	233	233
NBSAC9	6	203	203	241	241	201	201	230	230	199	199	281	284	214	214	233	236
NBSAC10	6	197	197	232	232	201	207	230	239	199	199	266	266	214	214	233	236
NBSAC11	6	203	206	226	238	201	201	230	239	199	199	275	281	214	217	233	236
NBSAC12	6	200	203	238	238	207	207	239	239	199	199	275	278	214	214	233	233
NBSAC13	6	200	203	232	232	201	201	239	242	199	208	272	278	217	217	233	233
NBSAC15	6	200	203	238	238	201	201	230	254	199	199	275	275	214	214	233	236
NBSAC16	6	203	206	235	238	207	207	239	239	199	199	278	281	214	214	233	233
NBSAC17	6	206	206	238	238	207	207	239	254	199	208	281	284	214	214	233	236
NBSAC19	6	206	206	241	244	201	201	230	239	199	199	272	281	214	217	233	233
NBSAC20	6	203	203	238	238	207	207	242	251	199	208	278	290	214	217	233	236
NBUG1	7	200	200	238	238	201	207	239	239	199	199	278	278	214	217	233	233
NBUG2	7	200	200	238	238	201	207	239	251	199	199	278	278	214	217	233	233
NBUG3	7	200	203	238	238	207	207	239	242	199	199	278	284	208	214	233	233
NBUG4	7	200	206	238	238	201	207	239	251	199	199	272	278	214	217	233	233
NBUG5	7	200	203	238	238	201	207	239	251	199	199	272	278	214	217	233	233
NBUG6	7	200	203	238	238	207	207	239	242	199	199	272	278	214	217	233	233
NBUG7	7	203	203	238	238	207	207	239	239	199	199	278	278	208	214	233	236
NBUG8	7	200	200	238	238	201	207	239	242	199	199	272	275	214	217	233	236
NBUG9	7	200	200	241	241	207	207	242	251	199	199	275	278	208	217	236	236
NBUG10	7	203	203	238	238	201	207	239	239	199	199	278	278	208	211	233	233
NBUG11	7	203	203	238	238	201	207	239	239	199	199	278	278	208	217	233	233
NBUG12	7	200	200	238	241	201	207	239	239	199	199	278	281	217	217	233	236
NBUG13	7	203	203	238	238	201	201	239	242	199	199	275	278	217	220	227	233
NBUG14	7	203	206	238	238	201	207	239	239	199	199	272	272	217	217	233	236
NBUG16	7	203	206	238	238	207	207	239	251	199	199	278	278	208	214	233	233
NBUG17	7	197	203	238	238	201	207	239	239	199	199	278	278	214	217	233	233
NBUG18	7	200	200	241	241	201	207	239	239	199	199	278	278	217	217	233	233
NBUG19	7	203	203	241	241	201	207	239	239	199	199	278	278	217	217	236	236
NBUG20	7	200	203	238	238	201	207	239	239	199	199	272	278	214	217	233	236
NBUG22	7	203	203	238	238	201	207	239	239	199	199	278	278	208	217	233	233
NBUG23	7	200	200	217	238	201	207	239	239	199	199	278	278	211	217	233	233
NBUG24	7	200	200	238	241	201	207	239	248	199	199	275	278	208	217	236	236
NBUG31	7	203	203	232	232	201	201	239	242	199	199	272	278	217	217	227	233
NBUG32	7	203	203	238	241	201	207	239	239	199	199	275	278	211	217	227	233
NBUG33	7	203	203	238	241	201	207	239	239	199	199	275	278	217	217	233	233
NBUG34	7	200	203	238	238	201	201	239	239	199	199	275	278	217	217	233	233
NBUR1	8	212	212	232	238	201	201	239	242	199	199	275	278	217	217	227	233
NBUR2	8	203	203	238	241	201	201	239	239	199	199	278	290	217	217	224	233
NBUR3	8	203	203	238	238	201	201	239	239	199	199	272	284	217	217	227	233
NBUR4	8	197	197	238	238	201	201	239	239	199	199	278	278	217	217	224	236
NBUR5	8	203	203	238	238	201	201	239	239	199	199	275	275	217	217	230	233
NBUR6	8	203	203	241	241	201	201	239	239	199	199	263	281	217	217	224	233
NBUR7	8	203	203	238	238	201	201	239	248	199	199	272	275	217	217	233	233
NBUR8	8	203	203	238	238	201	201	239	239	199	199	275	278	211	217	233	233
NBUR9	8	167	197	238	238	201	201	239	239	199	211	272	281	217	217	233	236
NBUR10	8	203	206	238	238	201	207	239	239	199	199	278	281	214	223	233	233
NBUR11	8	203	203	238	238	201	201	239	254	199	199	281	284	217	217	233	236
NBUR12	8	203	203	238	238	201	201	239	239	199	199	278	281	211	217	233	236
NBUR13	8	203	203	238	241	201	201	239	239	199	199	284	287	217	217	233	233
NBUR14	8	203	203	238	238	201	201	239	239	199	199	272	278	217	217	233	233
NBUR15	8	203	203	238	238	201	207	239	239	199	199	275	281	214	217	224	233
NBUR18	8	203	212	238	238	201	201	239	239	199	199	281	284	217	217	233	233
NBUR17	8	209	209	238	238	201	207	233	248	199	199	278	278	217	217	233	233
NBUR19	8	200	200	238	238	201	201	239	239	208	208	272	272	217	217	233	236
NBUR20	8	203	203	238	238	201	201	233	239	199	199	272	272	217	217	233	236
NBUR21	8	203	203	238	238	201	201	242	242	199	199	272	275	214	217	233	233
NBUR22	8	200	200	238	238	207	207	239	251	199	199	278	287	214	214	224	233
NBUR23	8	203	203	241	244	201	201	239	257	199	208	275	278	217	217	233	233
NBUR24	8	197	203	238	238	201	207	239	239	199	199	281	281	214	217	233	245
NBUR25	8	197	203	238	238	201	201	239	251	199	199	281	290	217	217	224	233
NBUR26	8	203	206	238	238	201	201	239	239	199	199	275	281	217	217	224	233
NBUR27	8	206	206	241	244	207	207	239	239	199	199	272	278	214	220	236	236
NBUR28	8	203	203	238	238	201	207	239	239	199	208	281	284	214	217	233	233
NBUR29	8	203	203	238	238	201	201	251	257	199	199	281	281	217	217	233	233
NBUR30	8	203	203	238	238	201	201	239	251	199	208	269	272	217	217	233	233
